geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
3108,HLA-DMA,0.61,0.65,0.00,"Immune response",DTO_05007608,63,60
3110,MNX1,0.56,0.62,0.79,"Transcription factor",DTO_05007542,113,66
3111,HLA-DOA,0.51,0.81,0.00,"Immune response",DTO_05007608,160,184
3113,HLA-DPA1,0.55,0.85,0.00,"Immune response",DTO_05007608,139,87
3115,HLA-DPB1,0.45,0.92,0.00,"Immune response",DTO_05007608,324,488
3117,HLA-DQA1,0.42,0.85,0.02,"Immune response",DTO_05007608,427,892
3118,HLA-DQA2,0.62,0.77,0.00,"Immune response",DTO_05007608,58,90
3119,HLA-DQB1,0.41,0.89,0.01,"Immune response",DTO_05007608,504,787
3120,HLA-DQB2,0.57,0.73,0.04,"Immune response",DTO_05007608,91,118
3122,HLA-DRA,0.58,0.77,0.52,"Immune response",DTO_05007608,92,98
3123,HLA-DRB1,0.33,0.92,0.00,"Immune response",DTO_05007608,1018,3092
3125,HLA-DRB3,0.57,0.89,NULL,"Immune response",DTO_05007608,85,107
3126,HLA-DRB4,0.57,0.85,NULL,"Immune response",DTO_05007608,87,78
3127,HLA-DRB5,0.61,0.73,0.00,"Immune response",DTO_05007608,62,81
3131,HLF,0.63,0.62,0.95,"Nucleic acid binding",DTO_05007557,53,67
3132,HLA-DRB9,0.68,0.65,NULL,NULL,NULL,33,56
3133,HLA-E,0.55,0.77,0.04,NULL,NULL,118,110
3135,HLA-G,0.46,0.77,0.00,NULL,NULL,279,394
3141,HLCS,0.65,0.65,0.00,Enzyme,DTO_05007624,63,67
3145,HMBS,0.56,0.73,0.95,Enzyme,DTO_05007624,140,234
3146,HMGB1,0.37,0.92,0.82,"Nucleic acid binding",DTO_05007557,724,1192
3156,HMGCR,0.53,0.69,1.00,NULL,NULL,154,237
3159,HMGA1,0.49,0.77,0.83,"Nucleic acid binding",DTO_05007557,206,224
3161,HMMR,0.54,0.62,0.00,NULL,NULL,117,89
3162,HMOX1,0.38,0.92,0.01,NULL,NULL,666,1008
3164,NR4A1,0.49,0.73,0.37,"Nuclear receptor",DTO_00102000,216,199
3169,FOXA1,0.52,0.73,0.22,"Transcription factor",DTO_05007542,138,248
3170,FOXA2,0.53,0.77,0.74,"Transcription factor",DTO_05007542,143,135
3172,HNF4A,0.46,0.81,0.15,"Nuclear receptor",DTO_00102000,340,699
3176,HNMT,0.58,0.81,0.02,NULL,NULL,98,56
3178,HNRNPA1,0.53,0.89,1.00,NULL,NULL,188,121
3181,HNRNPA2B1,0.57,0.81,1.00,NULL,NULL,131,78
3183,HNRNPC,0.61,0.54,0.98,NULL,NULL,61,52
3190,HNRNPK,0.54,0.85,1.00,Enzyme,DTO_05007624,185,110
3192,HNRNPU,0.58,0.65,1.00,NULL,NULL,116,54
3195,TLX1,0.64,0.31,0.74,NULL,NULL,52,78
3197,HOXA@,0.60,0.65,NULL,NULL,NULL,66,91
3198,HOXA1,0.58,0.77,0.29,NULL,NULL,95,83
3202,HOXA5,0.60,0.58,0.00,"Transcription factor",DTO_05007542,79,69
3205,HOXA9,0.52,0.69,0.00,NULL,NULL,147,242
3206,HOXA10,0.54,0.69,0.88,NULL,NULL,122,143
3207,HOXA11,0.57,0.69,0.94,NULL,NULL,111,68
3209,HOXA13,0.55,0.65,0.96,NULL,NULL,126,68
3217,HOXB7,0.57,0.62,0.00,"Transcription factor",DTO_05007542,93,71
3223,HOXC6,0.60,0.69,0.51,"Transcription factor",DTO_05007542,80,57
3236,HOXD10,0.59,0.54,0.06,NULL,NULL,83,63
3239,HOXD13,0.48,0.81,0.01,NULL,NULL,259,196
3240,HP,0.41,0.89,0.00,Enzyme,DTO_05007624,464,609
3242,HPD,0.57,0.77,0.00,Enzyme,DTO_05007624,102,104
3248,HPGD,0.52,0.73,0.00,NULL,NULL,194,125
3249,HPN,0.64,0.58,1.00,Enzyme,DTO_05007624,57,63
3250,HPR,0.58,0.62,0.00,Enzyme,DTO_05007624,94,78
3251,HPRT1,0.50,0.81,0.94,Enzyme,DTO_05007624,210,309
3257,HPS1,0.64,0.69,0.00,NULL,NULL,64,114
3258,HPT,0.59,0.69,NULL,NULL,NULL,71,67
3263,HPX,0.60,0.73,0.00,Enzyme,DTO_05007624,76,61
3265,HRAS,0.38,0.89,0.08,"Enzyme modulator",DTO_05007584,698,1091
3267,AGFG1,0.57,0.77,0.99,NULL,NULL,100,103
3272,HRES1,0.64,0.62,NULL,NULL,NULL,54,56
3273,HRG,0.60,0.58,0.00,"Enzyme modulator",DTO_05007584,72,62
3276,PRMT1,0.55,0.81,1.00,"Epigenetic regulator",DTO_05007378,110,107
3280,HES1,0.47,0.89,0.71,"Transcription factor",DTO_05007542,243,222
3283,HSD3B1,0.62,0.46,0.00,Enzyme,DTO_05007624,60,52
3284,HSD3B2,0.58,0.50,0.00,Enzyme,DTO_05007624,101,64
3290,HSD11B1,0.52,0.73,0.42,NULL,NULL,163,211
3291,HSD11B2,0.53,0.81,0.12,Enzyme,DTO_05007624,163,205
3292,HSD17B1,0.61,0.62,0.00,Enzyme,DTO_05007624,69,85
3293,HSD17B3,0.64,0.35,0.00,NULL,NULL,46,59
3295,HSD17B4,0.55,0.65,0.00,NULL,NULL,141,73
3297,HSF1,0.51,0.77,0.75,"Transcription factor",DTO_05007542,185,249
3299,HSF4,0.66,0.42,0.00,"Transcription factor",DTO_05007542,31,54
3303,HSPA1A,0.49,0.77,0.03,NULL,NULL,229,235
3304,HSPA1B,0.47,0.81,0.01,NULL,NULL,251,217
3305,HSPA1L,0.60,0.65,0.00,NULL,NULL,65,53
3306,HSPA2,0.55,0.81,0.05,NULL,NULL,115,87
3308,HSPA4,0.39,0.92,1.00,NULL,NULL,550,926
3309,HSPA5,0.43,0.89,0.77,NULL,NULL,350,540
3312,HSPA8,0.55,0.81,1.00,NULL,NULL,124,124
3313,HSPA9,0.50,0.89,0.97,NULL,NULL,198,165
3315,HSPB1,0.44,0.81,0.00,NULL,NULL,395,488
3316,HSPB2,0.46,0.77,0.00,NULL,NULL,290,368
3320,HSP90AA1,0.41,0.92,0.86,Chaperone,DTO_05007613,455,961
3326,HSP90AB1,0.61,0.65,1.00,Chaperone,DTO_05007613,67,55
3329,HSPD1,0.43,0.81,0.99,NULL,NULL,398,461
3337,DNAJB1,0.60,0.69,0.04,NULL,NULL,82,85
3339,HSPG2,0.44,0.89,0.00,"Enzyme modulator",DTO_05007584,405,340
3342,HTC2,0.39,0.81,NULL,NULL,NULL,511,792
3350,HTR1A,0.52,0.85,0.20,"G-protein coupled receptor",DTO_02300001,229,305
3351,HTR1B,0.55,0.77,0.19,"G-protein coupled receptor",DTO_02300001,140,136
3356,HTR2A,0.47,0.85,0.51,"G-protein coupled receptor",DTO_02300001,289,508
3357,HTR2B,0.65,0.54,0.00,"G-protein coupled receptor",DTO_02300001,61,51
3358,HTR2C,0.56,0.69,0.04,"G-protein coupled receptor",DTO_02300001,140,197
3359,HTR3A,0.61,0.54,0.00,"Ion channel",DTO_01300327,75,74
3360,HTR4,0.61,0.62,0.02,"G-protein coupled receptor",DTO_02300001,80,71
3362,HTR6,0.63,0.50,0.00,"G-protein coupled receptor",DTO_02300001,57,55
3363,HTR7,0.59,0.50,0.05,"G-protein coupled receptor",DTO_02300001,103,59
3371,TNC,0.43,0.85,0.00,NULL,NULL,369,412
3375,IAPP,0.51,0.81,0.00,Signaling,DTO_05007599,183,442
3376,IARS1,0.61,0.69,0.00,Enzyme,DTO_05007624,76,66
3383,ICAM1,0.36,0.96,0.04,NULL,NULL,737,1327
3394,IRF8,0.54,0.81,0.95,"Transcription factor",DTO_05007542,149,139
3397,ID1,0.54,0.69,0.00,"Transcription factor",DTO_05007542,125,117
3398,ID2,0.57,0.73,0.67,"Transcription factor",DTO_05007542,92,69
3400,ID4,0.59,0.62,0.03,"Transcription factor",DTO_05007542,86,54
3416,IDE,0.60,0.58,0.01,Enzyme,DTO_05007624,71,174
3417,IDH1,0.42,0.81,0.00,NULL,NULL,399,1440
3418,IDH2,0.43,0.81,0.88,NULL,NULL,380,748
3423,IDS,0.56,0.77,0.95,NULL,NULL,136,247
3425,IDUA,0.50,0.85,0.00,Enzyme,DTO_05007624,258,340
3426,CFI,0.57,0.73,0.00,NULL,NULL,133,96
3428,IFI16,0.60,0.77,0.00,"Transcription factor",DTO_05007542,79,72
3429,IFI27,0.44,0.77,0.01,NULL,NULL,332,652
3438,IFN1@,0.57,0.73,NULL,NULL,NULL,109,107
3439,IFNA1,0.37,0.92,NULL,NULL,NULL,662,1950
3440,IFNA2,0.44,0.89,NULL,NULL,NULL,355,537
3447,IFNA13,0.37,0.92,NULL,NULL,NULL,646,1911
3454,IFNAR1,0.53,0.77,0.00,Receptor,DTO_05007575,142,152
3455,IFNAR2,0.59,0.73,0.00,Receptor,DTO_05007575,85,98
3456,IFNB1,0.42,0.85,NULL,NULL,NULL,426,1011
3458,IFNG,0.29,0.96,0.47,NULL,NULL,1519,4363
3459,IFNGR1,0.53,0.69,0.02,Receptor,DTO_05007575,153,148
3460,IFNGR2,0.60,0.58,0.95,Receptor,DTO_05007575,71,56
3479,IGF1,0.32,0.89,0.27,NULL,NULL,1206,3238
3480,IGF1R,0.40,0.89,0.97,Kinase,DTO_03300101,556,1072
3481,IGF2,0.39,0.89,0.04,NULL,NULL,604,1130
3482,IGF2R,0.52,0.73,1.00,Receptor,DTO_05007575,166,162
3483,IGFALS,0.51,0.85,0.00,Receptor,DTO_05007575,203,468
3484,IGFBP1,0.50,0.81,0.00,"Enzyme modulator",DTO_05007584,191,200
3485,IGFBP2,0.48,0.77,0.12,"Enzyme modulator",DTO_05007584,241,244
3486,IGFBP3,0.44,0.81,0.91,"Enzyme modulator",DTO_05007584,350,584
3487,IGFBP4,0.57,0.73,0.02,"Enzyme modulator",DTO_05007584,94,71
3488,IGFBP5,0.54,0.69,0.96,"Enzyme modulator",DTO_05007584,126,116
3490,IGFBP7,0.48,0.77,0.00,NULL,NULL,241,264
3491,CCN1,0.47,0.73,0.71,Signaling,DTO_05007599,246,268
3492,IGH,0.47,0.65,NULL,NULL,NULL,238,761
3493,IGHA1,0.62,0.69,NULL,NULL,NULL,64,160
3497,IGHE,0.63,0.54,NULL,NULL,NULL,55,94
3502,IGHG3,0.51,0.77,NULL,NULL,NULL,161,170
3508,IGHMBP2,0.64,0.62,0.00,NULL,NULL,102,60
3516,RBPJ,0.52,0.81,1.00,"Nucleic acid binding",DTO_05007557,161,95
3549,IHH,0.57,0.54,0.31,NULL,NULL,130,51
3551,IKBKB,0.51,0.85,0.99,Kinase,DTO_03300101,191,172
3552,IL1A,0.33,0.96,0.00,NULL,NULL,1002,2161
3553,IL1B,0.28,0.96,0.13,NULL,NULL,1801,5807
3554,IL1R1,0.51,0.77,0.15,Receptor,DTO_05007575,184,164
3557,IL1RN,0.37,0.92,0.03,NULL,NULL,701,1061
3558,IL2,0.34,0.89,0.48,NULL,NULL,950,2348
3559,IL2RA,0.39,0.89,0.05,Receptor,DTO_05007575,540,939
3560,IL2RB,0.49,0.85,0.29,Receptor,DTO_05007575,226,196
3561,IL2RG,0.54,0.77,0.99,Signaling,DTO_05007599,164,186
3562,IL3,0.49,0.73,0.00,NULL,NULL,211,279
3563,IL3RA,0.56,0.77,0.00,Signaling,DTO_05007599,95,123
3565,IL4,0.33,0.96,0.00,NULL,NULL,996,2256
3566,IL4R,0.47,0.85,0.00,Receptor,DTO_05007575,242,316
3567,IL5,0.44,0.85,0.01,NULL,NULL,359,717
3569,IL6,0.25,0.96,0.32,NULL,NULL,2367,8813
3570,IL6R,0.47,0.85,0.00,Signaling,DTO_05007599,261,310
3572,IL6ST,0.48,0.81,1.00,Signaling,DTO_05007599,260,250
3574,IL7,0.46,0.81,0.93,NULL,NULL,275,371
3575,IL7R,0.49,0.77,0.00,Receptor,DTO_05007575,231,262
3576,CXCL8,0.31,0.96,0.00,Signaling,DTO_05007599,1254,3099
3577,CXCR1,0.51,0.77,0.00,"G-protein coupled receptor",DTO_02300001,167,159
3578,IL9,0.46,0.85,0.00,NULL,NULL,291,386
3579,CXCR2,0.45,0.92,0.01,"G-protein coupled receptor",DTO_02300001,335,338
3586,IL10,0.28,0.92,0.01,NULL,NULL,1679,4893
3587,IL10RA,0.58,0.69,0.02,Receptor,DTO_05007575,90,88
3588,IL10RB,0.64,0.58,0.00,Receptor,DTO_05007575,50,52
3589,IL11,0.48,0.81,0.00,NULL,NULL,244,212
3592,IL12A,0.49,0.81,0.05,NULL,NULL,261,175
3593,IL12B,0.48,0.89,0.00,Signaling,DTO_05007599,249,321
3594,IL12RB1,0.56,0.73,0.00,Signaling,DTO_05007599,118,92
3595,IL12RB2,0.61,0.69,0.00,Signaling,DTO_05007599,59,67
3596,IL13,0.39,0.85,0.01,NULL,NULL,587,1291
3598,IL13RA2,0.56,0.65,0.00,Signaling,DTO_05007599,103,96
3600,IL15,0.42,0.85,0.71,NULL,NULL,426,571
3603,IL16,0.50,0.85,0.00,Signaling,DTO_05007599,193,161
3604,TNFRSF9,0.50,0.77,0.32,NULL,NULL,177,214
3605,IL17A,0.32,0.92,0.04,NULL,NULL,1074,3043
3606,IL18,0.37,0.92,0.03,NULL,NULL,750,1291
3609,ILF3,0.62,0.65,1.00,"Nucleic acid binding",DTO_05007557,68,56
3611,ILK,0.50,0.77,0.00,Kinase,DTO_03300101,192,195
3620,IDO1,0.45,0.85,0.00,NULL,NULL,295,383
3621,ING1,0.57,0.69,0.01,"Nucleic acid binding",DTO_05007557,99,97
3622,ING2,0.60,0.65,0.73,"Nucleic acid binding",DTO_05007557,76,58
3623,INHA,0.58,0.62,0.01,Signaling,DTO_05007599,91,112
3624,INHBA,0.60,0.62,0.98,Signaling,DTO_05007599,83,51
3627,CXCL10,0.38,0.89,0.37,Signaling,DTO_05007599,631,901
3630,INS,0.45,0.92,0.30,NULL,NULL,405,824
3635,INPP5D,0.56,0.73,0.97,NULL,NULL,109,96
3636,INPPL1,0.59,0.77,0.00,NULL,NULL,133,67
3640,INSL3,0.60,0.54,0.02,NULL,NULL,63,67
3642,INSM1,0.58,0.65,0.27,NULL,NULL,85,52
3643,INSR,0.43,0.85,0.00,Kinase,DTO_03300101,452,841
3645,INSRR,0.51,0.81,0.00,Kinase,DTO_03300101,186,136
3651,PDX1,0.53,0.65,0.02,NULL,NULL,185,256
3654,IRAK1,0.51,0.81,0.99,Kinase,DTO_03300101,200,145
3655,ITGA6,0.54,0.77,0.00,NULL,NULL,137,120
3658,IREB2,0.62,0.58,1.00,Enzyme,DTO_05007624,82,82
3659,IRF1,0.47,0.77,0.99,"Transcription factor",DTO_05007542,257,283
3660,IRF2,0.58,0.77,0.80,"Transcription factor",DTO_05007542,86,67
3661,IRF3,0.52,0.81,0.00,"Transcription factor",DTO_05007542,174,235
3662,IRF4,0.49,0.77,0.86,"Transcription factor",DTO_05007542,203,292
3663,IRF5,0.49,0.73,0.01,"Transcription factor",DTO_05007542,226,258
3664,IRF6,0.49,0.77,1.00,"Transcription factor",DTO_05007542,233,213
3665,IRF7,0.55,0.85,0.00,"Transcription factor",DTO_05007542,121,136
3667,IRS1,0.49,0.77,0.02,NULL,NULL,233,481
3669,ISG20,0.41,0.85,0.00,NULL,NULL,414,687
3670,ISL1,0.58,0.65,0.87,"Transcription factor",DTO_05007542,94,59
3672,ITGA1,0.64,0.65,0.00,NULL,NULL,58,50
3673,ITGA2,0.52,0.73,0.00,NULL,NULL,166,149
3674,ITGA2B,0.49,0.69,0.00,NULL,NULL,215,251
3675,ITGA3,0.57,0.73,0.00,NULL,NULL,111,74
3676,ITGA4,0.56,0.77,0.00,NULL,NULL,123,130
3678,ITGA5,0.52,0.77,0.42,NULL,NULL,145,195
3682,ITGAE,0.58,0.69,0.00,NULL,NULL,95,88
3683,ITGAL,0.51,0.89,0.00,NULL,NULL,169,171
3684,ITGAM,0.44,0.81,0.00,NULL,NULL,343,454
3685,ITGAV,0.53,0.77,0.00,NULL,NULL,141,197
3687,ITGAX,0.50,0.77,0.00,NULL,NULL,170,211
3688,ITGB1,0.50,0.81,0.98,Receptor,DTO_05007575,210,320
3689,ITGB2,0.44,0.92,0.00,Receptor,DTO_05007575,340,395
3690,ITGB3,0.49,0.85,0.00,Receptor,DTO_05007575,260,356
3691,ITGB4,0.53,0.73,0.00,Receptor,DTO_05007575,171,114
3700,ITIH4,0.56,0.77,0.00,"Enzyme modulator",DTO_05007584,129,444
3702,ITK,0.56,0.77,0.00,Kinase,DTO_03300101,117,102
3704,ITPA,0.60,0.50,0.00,Enzyme,DTO_05007624,77,136
3708,ITPR1,0.53,0.85,1.00,"Ion channel",DTO_01300327,185,139
3710,ITPR3,0.56,0.81,0.00,"Ion channel",DTO_01300327,112,74
3712,IVD,0.71,0.46,0.00,Enzyme,DTO_05007624,42,59
3714,JAG2,0.58,0.85,1.00,NULL,NULL,81,52
3716,JAK1,0.47,0.77,1.00,Kinase,DTO_03300101,239,354
3717,JAK2,0.39,0.89,0.65,Kinase,DTO_03300101,644,2091
3718,JAK3,0.51,0.73,0.00,Kinase,DTO_03300101,194,213
3725,JUN,0.44,0.89,0.06,"Transcription factor",DTO_05007542,344,535
3726,JUNB,0.47,0.77,0.86,"Transcription factor",DTO_05007542,264,317
3727,JUND,0.48,0.81,0.70,"Transcription factor",DTO_05007542,242,291
3730,ANOS1,0.54,0.77,1.00,NULL,NULL,166,152
3732,CD82,0.51,0.73,0.00,NULL,NULL,172,236
3736,KCNA1,0.57,0.58,0.08,"Ion channel",DTO_01300327,148,69
3741,KCNA5,0.61,0.50,0.00,"Ion channel",DTO_01300327,73,62
3753,KCNE1,0.59,0.62,0.00,"Ion channel",DTO_01300327,95,155
3756,KCNH1,0.54,0.73,0.55,"Ion channel",DTO_01300327,180,62
3757,KCNH2,0.52,0.73,1.00,"Ion channel",DTO_01300327,189,606
3758,KCNJ1,0.62,0.58,0.00,"Ion channel",DTO_01300327,96,57
3759,KCNJ2,0.57,0.73,0.31,"Ion channel",DTO_01300327,117,119
3762,KCNJ5,0.56,0.58,0.00,"Ion channel",DTO_01300327,123,133
3766,KCNJ10,0.60,0.65,0.15,"Ion channel",DTO_01300327,95,69
3767,KCNJ11,0.53,0.62,0.01,"Ion channel",DTO_01300327,218,390
3776,KCNK2,0.63,0.65,0.02,"Ion channel",DTO_01300327,67,67
3777,KCNK3,0.58,0.65,0.90,"Ion channel",DTO_01300327,93,105
3778,KCNMA1,0.52,0.85,1.00,"Ion channel",DTO_01300327,205,119
3782,KCNN3,0.62,0.62,0.97,"Ion channel",DTO_01300327,60,66
3784,KCNQ1,0.49,0.77,0.00,"Ion channel",DTO_01300327,281,769
3785,KCNQ2,0.54,0.65,1.00,"Ion channel",DTO_01300327,175,202
3786,KCNQ3,0.60,0.46,0.80,"Ion channel",DTO_01300327,84,86
3791,KDR,0.38,0.89,1.00,Kinase,DTO_03300101,623,1311
3798,KIF5A,0.59,0.73,1.00,"Cellular structure",DTO_05007530,112,63
3799,KIF5B,0.60,0.54,0.99,"Cellular structure",DTO_05007530,67,56
3803,KIR2DL2,0.61,0.65,NULL,Receptor,DTO_05007575,65,64
3804,KIR2DL3,0.61,0.65,0.00,Receptor,DTO_05007575,57,56
3806,KIR2DS1,0.54,0.77,NULL,Receptor,DTO_05007575,123,158
3811,KIR3DL1,0.48,0.77,0.00,Receptor,DTO_05007575,231,366
3812,KIR3DL2,0.54,0.77,0.00,Receptor,DTO_05007575,118,149
3813,KIR3DS1,0.62,0.69,NULL,Receptor,DTO_05007575,57,72
3814,KISS1,0.51,0.81,0.49,NULL,NULL,179,179
3815,KIT,0.37,0.81,0.98,Kinase,DTO_03300101,715,2123
3816,KLK1,0.53,0.77,0.00,Enzyme,DTO_05007624,132,128
3817,KLK2,0.65,0.42,0.00,Enzyme,DTO_05007624,43,64
3818,KLKB1,0.60,0.69,0.00,Enzyme,DTO_05007624,88,92
3820,KLRB1,0.60,0.62,0.00,NULL,NULL,71,63
3821,KLRC1,0.60,0.73,0.00,NULL,NULL,67,76
3822,KLRC2,0.64,0.73,0.00,NULL,NULL,50,58
3824,KLRD1,0.64,0.69,0.00,NULL,NULL,53,55
3827,KNG1,0.48,0.89,0.00,"Enzyme modulator",DTO_05007584,279,415
3832,KIF11,0.56,0.77,1.00,"Cellular structure",DTO_05007530,156,51
3835,KIF22,0.55,0.65,0.00,"Cellular structure",DTO_05007530,150,73
3838,KPNA2,0.59,0.65,0.54,Transporter,DTO_05007405,79,64
3845,KRAS,0.32,0.92,0.00,"Enzyme modulator",DTO_05007584,1213,5445
3848,KRT1,0.58,0.65,0.74,NULL,NULL,100,102
3852,KRT5,0.51,0.73,0.64,NULL,NULL,203,251
3855,KRT7,0.46,0.81,0.00,NULL,NULL,287,367
3856,KRT8,0.52,0.65,0.00,NULL,NULL,166,129
3857,KRT9,0.68,0.35,0.00,NULL,NULL,30,60
3858,KRT10,0.58,0.69,0.00,NULL,NULL,93,103
3861,KRT14,0.53,0.73,0.00,NULL,NULL,173,197
3868,KRT16,0.57,0.77,0.00,NULL,NULL,97,84
3872,KRT17,0.53,0.65,0.00,NULL,NULL,140,112
3875,KRT18,0.53,0.69,0.73,NULL,NULL,151,162
3880,KRT19,0.46,0.73,0.00,NULL,NULL,270,506
3897,L1CAM,0.48,0.77,1.00,NULL,NULL,289,295
3898,LAD1,0.58,0.73,0.00,"Cellular structure",DTO_05007530,87,85
3899,AFF3,0.62,0.69,1.00,"Transcription factor",DTO_05007542,77,54
3902,LAG3,0.52,0.69,0.28,Receptor,DTO_05007575,154,165
3903,LAIR1,0.57,0.69,0.00,Receptor,DTO_05007575,89,118
3908,LAMA2,0.55,0.69,0.00,"Enzyme modulator",DTO_05007584,167,156
3909,LAMA3,0.58,0.73,0.00,"Enzyme modulator",DTO_05007584,110,79
3913,LAMB2,0.60,0.65,0.00,"Enzyme modulator",DTO_05007584,116,59
3914,LAMB3,0.56,0.69,0.00,"Enzyme modulator",DTO_05007584,115,102
3916,LAMP1,0.54,0.77,0.87,Transporter,DTO_05007405,120,130
3918,LAMC2,0.39,0.92,0.00,"Enzyme modulator",DTO_05007584,602,1164
3920,LAMP2,0.55,0.73,0.27,Transporter,DTO_05007405,134,158
3921,RPSA,0.49,0.77,0.93,"Nucleic acid binding",DTO_05007557,221,299
3925,STMN1,0.46,0.89,0.08,NULL,NULL,284,764
3927,LASP1,0.57,0.62,0.98,NULL,NULL,85,86
3929,LBP,0.53,0.81,0.00,NULL,NULL,156,165
3930,LBR,0.47,0.81,0.18,Enzyme,DTO_05007624,307,168
3931,LCAT,0.59,0.65,0.08,Enzyme,DTO_05007624,94,132
3932,LCK,0.56,0.77,1.00,Kinase,DTO_03300101,103,82
3934,LCN2,0.41,0.89,0.00,Enzyme,DTO_05007624,497,777
3938,LCT,0.58,0.81,0.06,Enzyme,DTO_05007624,90,131
3939,LDHA,0.51,0.81,0.07,Enzyme,DTO_05007624,185,208
3945,LDHB,0.60,0.62,0.00,Enzyme,DTO_05007624,74,58
3949,LDLR,0.45,0.89,0.00,NULL,NULL,336,1879
3952,LEP,0.35,0.85,0.46,NULL,NULL,931,2589
3953,LEPR,0.43,0.81,0.99,Signaling,DTO_05007599,416,644
3956,LGALS1,0.44,0.85,0.00,Signaling,DTO_05007599,362,414
3958,LGALS3,0.39,0.85,0.00,Signaling,DTO_05007599,557,783
3959,LGALS3BP,0.55,0.77,0.00,NULL,NULL,127,137
3960,LGALS4,0.60,0.73,0.00,Signaling,DTO_05007599,73,68
3965,LGALS9,0.50,0.77,0.00,Signaling,DTO_05007599,197,164
3973,LHCGR,0.53,0.69,0.00,"G-protein coupled receptor",DTO_02300001,151,169
3976,LIF,0.48,0.77,0.52,Signaling,DTO_05007599,236,226
3977,LIFR,0.52,0.81,0.00,Signaling,DTO_05007599,198,85
3981,LIG4,0.48,0.85,0.00,NULL,NULL,293,184
3984,LIMK1,0.49,0.73,1.00,Kinase,DTO_03300101,271,98
3988,LIPA,0.56,0.65,0.00,Enzyme,DTO_05007624,130,178
3990,LIPC,0.59,0.65,0.00,Enzyme,DTO_05007624,120,171
3991,LIPE,0.60,0.50,0.00,NULL,NULL,85,78
3992,FADS1,0.58,0.77,0.37,NULL,NULL,125,120
4000,LMNA,0.38,0.89,1.00,NULL,NULL,824,1106
4001,LMNB1,0.56,0.73,0.55,NULL,NULL,128,74
4004,LMO1,0.62,0.54,0.64,NULL,NULL,56,54
4005,LMO2,0.59,0.65,0.16,NULL,NULL,83,113
4010,LMX1B,0.57,0.73,0.75,"Nucleic acid binding",DTO_05007557,132,98
4012,LNPEP,0.51,0.73,1.00,Enzyme,DTO_05007624,174,169
4015,LOX,0.45,0.85,0.99,NULL,NULL,328,364
4016,LOXL1,0.59,0.62,0.89,NULL,NULL,93,147
4017,LOXL2,0.53,0.73,0.00,NULL,NULL,149,145
4018,LPA,0.44,0.77,0.00,Enzyme,DTO_05007624,340,1014
4023,LPL,0.47,0.81,0.00,Enzyme,DTO_05007624,290,905
4026,LPP,0.54,0.77,0.01,"Enzyme modulator",DTO_05007584,131,110
4035,LRP1,0.48,0.77,1.00,NULL,NULL,252,305
4036,LRP2,0.49,0.85,1.00,NULL,NULL,254,302
4038,LRP4,0.57,0.69,0.00,NULL,NULL,151,55
4040,LRP6,0.54,0.81,0.70,NULL,NULL,134,118
4041,LRP5,0.49,0.85,0.51,NULL,NULL,283,211
4043,LRPAP1,0.58,0.73,0.00,NULL,NULL,95,66
4045,LSAMP,0.56,0.65,0.99,NULL,NULL,107,126
4048,LTA4H,0.62,0.65,0.00,NULL,NULL,63,60
4049,LTA,0.43,0.89,0.20,Signaling,DTO_05007599,353,453
4050,LTB,0.56,0.77,0.00,Signaling,DTO_05007599,110,82
4051,CYP4F3,0.55,0.81,0.00,Enzyme,DTO_05007624,114,112
4053,LTBP2,0.57,0.69,0.00,"Calcium-binding protein",DTO_05007616,106,60
4054,LTBP3,0.56,0.85,0.69,"Calcium-binding protein",DTO_05007616,150,143
4055,LTBR,0.59,0.69,0.31,NULL,NULL,78,61
4056,LTC4S,0.65,0.73,0.00,Enzyme,DTO_05007624,50,59
4057,LTF,0.54,0.85,0.00,Enzyme,DTO_05007624,133,101
4060,LUM,0.54,0.73,0.08,NULL,NULL,123,122
4061,LY6E,0.56,0.81,0.32,NULL,NULL,115,181
4067,LYN,0.60,0.62,1.00,Kinase,DTO_03300101,75,64
4068,SH2D1A,0.53,0.73,0.39,NULL,NULL,160,261
4069,LYZ,0.53,0.85,0.00,NULL,NULL,178,212
4070,TACSTD2,0.54,0.73,0.00,NULL,NULL,130,138
4072,EPCAM,0.45,0.89,0.00,NULL,NULL,328,644
4082,MARCKS,0.56,0.77,0.33,NULL,NULL,102,78
4084,MXD1,0.56,0.69,0.23,"Transcription factor",DTO_05007542,101,71
4085,MAD2L1,0.58,0.62,0.01,NULL,NULL,98,108
4086,SMAD1,0.53,0.73,0.99,"Transcription factor",DTO_05007542,138,133
4087,SMAD2,0.46,0.81,1.00,"Transcription factor",DTO_05007542,289,506
4088,SMAD3,0.42,0.92,0.80,"Transcription factor",DTO_05007542,470,642
4089,SMAD4,0.40,0.81,1.00,"Transcription factor",DTO_05007542,575,937
4091,SMAD6,0.58,0.73,0.00,"Transcription factor",DTO_05007542,93,52
4092,SMAD7,0.47,0.77,0.55,"Transcription factor",DTO_05007542,269,338
4099,MAG,0.58,0.69,0.49,Receptor,DTO_05007575,106,78
4100,MAGEA1,0.60,0.46,NULL,"Cell adhesion",DTO_05007620,71,108
4102,MAGEA3,0.59,0.50,NULL,"Cell adhesion",DTO_05007620,82,106
4118,MAL,0.57,0.58,0.83,Transporter,DTO_05007405,102,85
